id,sex,population,exp,1stMove,cross,percent_visible,moving_bouts,percent_moving,percent_novel,pc1,pc2
2,m,Shou,1,169,221,0.38,0.013036393,0.350353069,0.680608365,-0.41725646992126897,-0.10801208370558163
2,m,Shou,2,80,95,1,0.01523395,0.249183896,0.799238303,-1.2849307349944215,-1.3619470855424072
3,j,Shou,1,127,705,0.42,0.013114754,0.303825137,0.280874317,0.5451988223234241,0.35808762001294686
3,j,Shou,2,185,233,0.75,0.025260846,0.528281164,0.332784185,-0.9971493590062692,0.9572126063773969
5,f,Shou,1,1227,2000,0.004,0.00109529,0.011500548,0,4.172334215424737,0.4898923970805634
5,f,Shou,2,210,274,0.74,0.040348964,0.47655398,0.643947655,-1.5181375592058566,0.6919146461486232
6,f,Shou,1,187,245,0.48,0.018062397,0.187739464,0.297755884,0.40304467943616484,-0.11287933177862491
6,f,Shou,2,107,109,0.79,0.037663755,0.408296943,0.566593886,-1.433696014851484,0.36911558557099294
7,f,Shou,1,315,1112,0.63,0.015200869,0.219326819,0.127035831,1.1244062745694552,0.2304523998757319
7,f,Shou,2,115,237,0.96,0.041349293,0.49945593,0.658868335,-1.986590123950731,0.49102437923494596
10,m,Shou,1,933,2000,0.002,0.001091107,0.003273322,0,3.966180118326226,0.36586865824898573
10,m,Shou,2,199,201,1,0.027247956,0.28719346,0.810899183,-1.4355518578460194,-0.8882657906795819
14,f,Shou,1,478,720,0.88,0.028384279,0.241812227,0.459606987,-0.09439503889275352,-0.17254699143256372
14,f,Shou,2,323,339,0.81,0.02892562,0.164256198,0.69214876,-0.5416188125524453,-0.8403333336333157
16,f,Shou,1,354,752,0.94,0.018619934,0.17196057,0.400876232,0.18775552506388216,-0.6812163575950786
16,f,Shou,2,292,296,0.97,0.024045262,0.262376238,0.60466761,-0.8355858389352391,-0.664710631899231
18,f,Shou,1,90,107,0.44,0.022925764,0.264737991,0.262554585,0.0548071061860316,0.32932353314082236
18,f,Shou,2,187,201,0.71,0.031857451,0.397408207,0.47462203,-0.9485287566651477,0.46077377000127095
19,m,Shou,1,568,736,1,0.009879254,0.057628979,0.601536773,0.4129174129849925,-1.6185208056762699
19,m,Shou,2,245,2000,0,0.004856989,0.010253643,0,3.349635380762243,0.2610801769225598
22,m,Shou,1,520,674,0.69,0.025862069,0.167145594,0.486590038,0.3369709974841883,-0.3299669659837941
22,m,Shou,2,45,219,0.41,0.02970297,0.230551627,0.293493635,0.06264317046547788,0.36210589560707757
23,f,Shou,1,243,1110,0.92,0.024711697,0.271279517,0.355848435,0.07497556731275196,-0.04339466480155241
23,f,Shou,2,110,114,0.96,0.050471436,0.377703827,0.758735441,-2.05684429863333,0.0875378907574677
24,f,Shou,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
24,f,Shou,2,278,731,0.4,0.0292366,0.202490525,0.241472658,0.7615057296647262,0.5116967599970839
26,f,Shou,1,1086,2000,0.94,0.002081165,0.008844953,0,2.9012850437832056,-0.601881903126236
26,f,Shou,2,909,1086,0.24,0.014262205,0.104772353,0.194185409,2.2648946266768877,0.3141153126937397
4,j,Shou,1,1147,2000,0.03,0.002741228,0.007675439,0,4.06045477549421,0.46021891169767504
4,j,Shou,2,142,275,0.73,0.057565789,0.344298246,0,-0.5356522095142097,1.5799382237712867
8,j,Shou,1,116,285,0.73,0.044833242,0.223072717,0.600328048,-0.9208269018642968,-0.08623749511154988
8,j,Shou,2,230,243,0.33,0.022900763,0.134678299,0.864776445,-0.1702778908517159,-0.8607620778617444
9,j,Shou,1,118,215,0.4,0.041575492,0.193654267,0.256017505,0.08499989706355399,0.6049082767761749
9,j,Shou,2,64,118,0.85,0.077429984,0.442613948,0.691927512,-2.4702113396688006,1.192448648638994
11,j,Mei,1,300,308,0.62,0.050297458,0.296917253,0.633315306,-0.9580990647603853,0.45830168136414007
11,j,Mei,2,171,213,0.8,0.09204793,0.397058824,0.712418301,-2.414836030773293,1.4582599986420866
12,j,Mei,1,456,532,0.34,0.036776636,0.147647377,0.247160627,0.8498116221301527,0.5713102863060084
12,j,Mei,2,366,1431,0.26,0.016348774,0.08119891,0.19400545,2.0752776839205023,0.14508808795501515
15,j,Shou,1,240,322,0.86,0.022502744,0.120197585,0.450603732,-0.09715912165060271,-0.8824456164908248
15,j,Shou,2,123,414,0.47,0.032608696,0.163043478,0.250517598,0.37350825701032864,0.2433318074759579
59,m,Chai,1,183,217,0.98,0.058082192,0.294246575,0.619178082,-1.6546583963137484,0.1953206101673604
59,m,Chai,2,119,187,0.97,0.033516484,0.2,0.66043956,-1.1223285367681541,-0.8263140764070218
60,m,Chai,1,311,326,1,0.043691972,0.253413435,0.773894047,-1.3923985183508967,-0.4973625284896457
60,m,Chai,2,142,168,0.88,0.053872054,0.279461279,0.59203142499999994,-1.4480132718380399,0.16979045419739944
61,f,Chai,1,211,271,0.85,0.047671233,0.325479452,0.484383562,-1.1437522789819465,0.42738378662939297
61,f,Chai,2,155,215,0.66,0.062190424,0.450192625,0.463401211,-1.5254234783935683,1.457785887903198
62,m,Chai,1,265,293,0.85,0.039868924,0.289459312,0.782086292,-1.3090182333332092,-0.320985542738928
62,m,Chai,2,88,90,1,0.049450549,0.348351648,0.76043956,-2.04867114058332,-0.10523938751432865
63,f,Chai,1,19,74,0.7,0.077472527,0.414285714,0.58021978,-2.110451630841515,1.4036849814677936
63,f,Chai,2,35,51,0.85,0.083058306,0.46589659,0.575907591,-2.5183769178644164,1.5671589060389686
65,f,Chai,1,116,171,0.98,0.057692308,0.275274725,0.776373626,-1.9174378764858149,-0.1513714269846756
65,f,Chai,2,9,167,0.86,0.064799561,0.338824822,0.527182867,-1.7666648646736622,0.730834583248946
66,m,Chai,1,232,255,1,0.030752334,0.143327842,0.662273476,-0.8342847713353545,-1.0893284624246578
66,m,Chai,2,150,275,0.55602537,0.06448203,0.344608879,0.522727273,-1.2126617400469848,1.1622313502858554
72,m,Chai,1,67,83,0.996143251,0.056198347,0.773553719,0.818181818,-3.3705139308468106,1.5370709489612384
72,m,Chai,2,223,224,1,0.048298573,0.276070252,0.735455543,-1.6078794797323106,-0.2924748858972823
64,f,Chai,1,166,175,1,0.061089708,0.250963126,0.791414419,-1.9156286526804667,-0.18681445973538385
64,f,Chai,2,317,388,0.762168142,0.068030973,0.287057522,0.554756637,-1.2160215417260456,0.8306460852319733
67,m,Chai,1,97,168,0.936403509,0.066885965,0.325657895,0.542763158,-1.8146445095422041,0.6518125984741772
67,m,Chai,2,62,68,0.995547074,0.061068702,0.360687023,0.509541985,-1.927514054339715,0.5921207194641004
69,f,Chai,1,105,112,0.943437672,0.064250412,0.401427787,0.847336628,-2.4641520357749194,0.39306959826063026
69,f,Chai,2,52,104,0.995682677,0.062061522,0.362655154,0.885051268,-2.4945053461963744,0.062116698058414466
71,f,Chai,1,222,258,0.976177285,0.051523546,0.290304709,0.700831025,-1.5950709784467971,-0.07633510285776207
71,f,Chai,2,238,244,0.840396258,0.030269675,0.177765548,0.735277931,-0.8316048837302568,-0.9032146221615371
77,j,Chai,1,73,215,0.801648352,0.058791209,0.285714286,0.375274725,-1.1473835919266178,0.7137053330260905
77,j,Chai,2,272,347,0.725317154,0.028130171,0.132377275,0.806398235,-0.5466955770077626,-1.0683489328223374
70,f,Chai,1,281,391,0.907530454,0.049280177,0.272425249,0.624584718,-1.1769290842867057,0.04059118725724828
70,f,Chai,2,138,469,0.99339207,0.031387665,0.166299559,0.654185022,-0.8135306823399722,-0.9587591490741147
74,j,Chai,1,46,65,0.604485777,0.054704595,0.374179431,0.418490153,-1.254635917648803,1.0614353369064493
74,j,Chai,2,39,45,0.537699505,0.040176114,0.221794166,0.873968079,-1.2354770728834903,-0.46939771683285114
76,j,Chai,1,110,145,0.975463468,0.057251908,0.435114504,0.456379498,-1.8643919381835734,0.9073708230702544
76,j,Chai,2,128,133,0.900826446,0.073278237,0.64077135,0.716804408,-2.957058202126639,1.7517147973384586
78,m,Chai,1,151,152,0.8217012,0.079062159,0.476008724,0.487459106,-2.152478723633124,1.7298917366372988
78,m,Chai,2,155,164,0.97630854,0.062809917,0.376859504,0.550964187,-1.8991707231043076,0.702412944411009
75,f,Chai,1,96,101,0.994496423,0.0533847,0.272977435,0.722619703,-1.8404681114528754,-0.22002643462325053
75,f,Chai,2,634,2063,0.694551458,0.020408163,0.138560687,0.272824919,1.8426164507013936,0.05414412499715665
73,f,Chai,1,56,300,0.90536105,0.06345733,0.56345733,0.795404814,-2.659933464470435,1.113379984163621
73,f,Chai,2,174,200,0.836992316,0.064763996,0.304061471,0.690450055,-1.7400626479898642,0.4422714024002412
79,f,Chai,1,211,224,0.990597345,0.031526549,0.209623894,0.601769912,-0.9550401330895898,-0.7370364088699957
79,f,Chai,2,56,58,0.735890411,0.017534247,0.149041096,0.523287671,-0.36830664563355686,-0.976418190623204
80,j,Chai,1,87,111,0.926089355,0.080529509,0.377826806,0.585769443,-2.2743036515240003,1.108289408077648
80,j,Chai,2,78,124,0.764057332,0.091510474,0.414002205,0.441565601,-2.133538893082046,1.9084014755918175
81,f,Chai,1,64,248,0.811123348,0.06938326,0.30561674,0.580947137,-1.6786478796880564,0.7276133440219549
82,m,PT,1,80,83,0.990643919,0.02916896,0.188772702,0.787561915,-1.3374011137292778,-1.2207286162209563
82,m,PT,2,164,170,0.416026345,0.013721186,0.118551043,0.235455543,0.7583549902642258,-0.3294328259151559
83,m,PT,1,198,519,0.80352229,0.048981838,0.186020914,0.607044579,-0.7713678028757079,-0.14366935745992482
83,m,PT,2,270,399,0.763995609,0.061470911,0.22777168,0.642700329,-1.1161991411008918,0.30502237051343695
84,m,PT,1,533,2000,0.027472527,0.001648352,0.00989011,0,3.595318342328884,0.24459661516107067
84,m,PT,2,191,202,0.796600877,0.01370614,0.078947368,0.734100877,-0.309573840692161,-1.6421031409179996
85,m,PT,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
85,m,PT,2,91,202,0.48349835,0.049504951,0.172717272,0.331133113,-0.23671318592030424,0.501284274454564
86,f,PT,1,124,197,0.320682068,0.023652365,0.097359736,0.343234323,0.592107887814868,-0.2285159156341509
86,f,PT,2,92,131,0.739846323,0.093852909,0.460482986,0.483534577,-2.3106843564778785,2.107001551638318
87,f,PT,1,129,130,0.942307692,0.036813187,0.221978022,0.731868132,-1.3375738461284596,-0.7490201365757512
87,f,PT,2,140,175,0.99396599,0.021941854,0.165660998,0.759188151,-1.0101612318738074,-1.4052251783377636
93,m,PT,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
93,m,PT,2,154,168,0.646864687,0.033553355,0.249174918,0.410891089,-0.4656685896361802,0.10514178068346898
94,j,PT,1,253,260,0.413091309,0.02530253,0.141364136,0.200220022,0.6939559082674613,0.1386670109346944
94,j,PT,2,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
95,m,PT,1,398,611,1,0.0220022,0.094059406,0.650165017,-0.17280615659033147,-1.3424719505995686
95,m,PT,2,324,365,1,0.003850385,0.01430143,0.096259626,0.9400292641729557,-1.3158757493531492
96,f,PT,1,436,1058,0.459801762,0.061674009,0.25385462600000003,0.313876652,0.25329180965870485,1.4268269619133849
96,f,PT,2,163,202,0.363437329,0.04378763,0.186097428,0.219485495,0.19412939629582235,0.7392455967875822
111,f,PT,1,153,232,0.893907563,0.012605042,0.108718487,0.831407563,-0.6436245143952644,-1.8221364849586728
111,f,PT,2,551,646,0.692647872,0.014372582,0.100055279,0.528468767,0.6413449598390825,-0.9178140941960257
112,m,PT,1,105,352,0.618469657,0.040633245,0.154617414,0.478100264,-0.3163849640008667,-0.1212950603557692
112,m,PT,2,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
113,m,PT,1,181,187,1,0.016847826,0.093478261000000007,0.682065217,-0.589714346735664,-1.6704131956195816
113,m,PT,2,279,288,1,0.018498368,0.147986942,0.78781284,-0.7723101119879576,-1.5368063960813374
114,f,PT,1,139,2000,0.002695418,0.001078167,0.001617251,0,3.3483999396625928,0.09986273743626639
114,f,PT,2,272,326,0.102029622,0.014810752,0.062534284,0.052111903,1.7365132312956002,0.1870422731795779
115,j,PT,1,436,445,0.352242031,0.022690438,0.110210697,0.236088601,1.1076142587077653,0.0706238637649631
115,j,PT,2,317,320,0.74010989,0.037912088,0.396153846,0.552747253,-1.0173241729597016,0.5168812968531952
116,m,PT,1,144,657,0.738327905,0.058089034,0.168838219,0.290988057,-0.27350838493295165,0.5723981653481424
116,m,PT,2,319,470,0.76127321,0.023342175,0.139522546,0.478514589,0.08002531942763305,-0.6665861987399155
117,f,PT,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
117,f,PT,2,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
118,j,PT,1,123,2000,0.002183406,5.45852e-4,0.003275109,0,3.3410009293616323,0.08842203795546733
118,j,PT,2,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
119,m,PT,1,195,629,0.858624454,0.023471616,0.102620087,0.640283843,-0.17748599596933848,-1.1629276993484827
119,m,PT,2,110,2000,0.193066667,0.0032,0.018133333,0,3.01340761034802,-0.012704777798849487
120,f,PT,1,805,985,0.485969388,0.005739796,0.021045918,0.371173469,1.9071423521640536,-0.800001202695547
120,f,PT,2,39,717,0.675719718,0.023900054,0.145573058,0.604562738,-0.08073212503765628,-0.7669853622703212
121,m,PT,1,215,257,0.291529153,0.022552255,0.099559956,0.212321232,0.9480055644367673,0.024109001543673347
121,m,PT,2,875,887,1,0.002715915,0.029331885,0.517653449,1.0728762287040008,-1.6414273241930544
122,m,PT,1,484,2000,1,5.50055e-4,0.00220022,0,2.398958323200154,-0.9277355476690884
122,m,PT,2,87,291,0.942596567,0.033798283,0.208690987,0.497317597,-0.8267519570296772,-0.5012980543890587
123,f,PT,1,436,444,0.44010989,0.012637363,0.1,0.422527473,0.9129672598233298,-0.5913065283755365
123,f,PT,2,90,327,0.808204582,0.035695258,0.269579116,0.599360682,-0.9774233891972898,-0.22392803317056792
124,f,PT,1,202,246,0.816035146,0.029654036,0.172432729,0.697968149,-0.7485752512487494,-0.8654730037391121
124,f,PT,2,13,326,0.854166667,0.021929825,0.132127193,0.725877193,-0.6983279867460932,-1.3330590894860535
125,f,PT,1,74,182,0.928417653,0.043057051,0.227664155,0.632938644,-1.298613709414278,-0.4197632448882355
125,f,PT,2,166,188,0.88121547,0.04640884,0.250276243,0.692265193,-1.3676186460459308,-0.25959070442047977
126,m,PT,1,307,469,0.816639299,0.026272578,0.134099617,0.660645868,-0.30498403506527016,-0.9562541372752043
126,m,PT,2,10,12,1,0.010410959,0.058082192,0.989041096,-1.1021511021477401,-2.5086847907213583
127,m,PT,1,203,2000,0.118681319,5.49451e-4,0.002197802,0,3.2630684907232426,-0.021316994270797807
127,m,PT,2,89,579,0.937703142,0.027627302,0.165763814,0.686348862,-0.6936114717619359,-1.0320688711682853
128,f,PT,1,0,1103,0.208756006,0.016017085,0.076882007,0.183128671,1.6634635690380968,0.012818845039148319
128,f,PT,2,353,363,0.57244786,0.025795829,0.15751921,0.485729967,0.1683939392548763,-0.34721937805155767
129,m,PT,1,338,384,0.776373626,0.023076923,0.129120879,0.669230769,-0.23554198896443376,-1.0258527146062177
129,m,PT,2,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
130,f,PT,1,2000,2000,0,0,0,0,4.8303513901833615,0.6773361137185931
130,f,PT,2,1173,2000,0.02800659,0.002745744,0.009884679,0,4.077428249342058,0.47921332593893096
131,j,PT,1,44,52,0.942716858,0.046372068,0.238952537,0.685761048,-1.590718902567794,-0.4281800412909963
131,j,PT,2,60,104,0.934644303,0.021399653,0.113360324,0.875072296,-1.0759053280801658,-1.7583552427482123
